DATE_TIME,current_contract,next_contract,carry_contract
2021-03-08 20:00:01,20210300,20210600,20210600
2021-06-03 21:00:01,20210600,20210900,20210900
2021-09-07 18:00:01,20210900,20211200,20211200
2021-12-08 19:00:01,20211200,20220300,20220300
2022-02-23 18:00:01,20220300,20220600,20220600
2022-04-08 23:00:00,20220600,20220900,20220900
